FRAMES,First_FORCE_X,First_FORCE_Y,First_FORCE_Z,First_COFP_X,First_COFP_Y,First_COFP_Z,First_FREEMOMENT_Z,Second_FORCE_X,Second_FORCE_Y,Second_FORCE_Z,Second_COFP_X,Second_COFP_Y,Second_COFP_Z,Second_FREEMOMENT_Z,Heel_Strike1,Toe_Off1,Heel_Strike2
65,8.288039086215733e-32,-6.281066807190676e-32,-1.4515344982587826e-31,,,,-4.930746655620385e-33,1.7777947600339717e-47,5.2419881816319964e-48,2.6069971282457017e-46,,,,7.18963323937225e-48,928,480,1760
66,2.408762007677171e-32,-1.8373924310563735e-32,-4.081469138552786e-32,,,,-1.4850861272634713e-33,2.4265622981691595e-47,6.019862816670347e-48,3.524671984457051e-46,,,,9.755853128843678e-48,928,480,1760
67,-4.751114850214241e-32,3.575178183814802e-32,8.613639053318513e-32,,,,2.715433110222205e-33,3.057446145927513e-47,6.592381148004292e-48,4.4115914994716246e-46,,,,1.224202010740881e-47,928,480,1760
68,-1.301615074230229e-31,9.824177025300174e-32,2.325709013293446e-31,,,,7.568574178809648e-33,3.629680958906672e-47,6.885935947254387e-48,5.2093594870152444e-46,,,,1.448563330207589e-47,928,480,1760
69,-2.2111594811555878e-31,1.6702034745103626e-31,3.9360219524285983e-31,,,,1.2913719530348325e-32,4.09807743264202e-47,6.829165013646738e-48,5.8535462013609544e-46,,,,1.6307075031837876e-47,928,480,1760
70,-3.1660406188747027e-31,2.392381500854656e-31,5.625345312477887e-31,,,,1.8530066070974025e-32,4.4148378418945e-47,6.357605331795924e-48,6.276329932005691e-46,,,,1.7516917680939075e-47,928,480,1760
71,-4.118574546830025e-31,3.11290848310481e-31,7.309087583319662e-31,,,,2.413802956071001e-32,4.53187728348467e-47,5.41884029243032e-48,6.409850548315015e-46,,,,1.792522516163276e-47,928,480,1760
72,-5.011984945046339e-31,3.7888610999539436e-31,8.886611128447708e-31,,,,2.940439653395395e-32,4.403611270511304e-47,3.9779310809028787e-48,6.1902145308802076e-46,,,,1.7352685118631975e-47,928,480,1760
73,-5.78200001402896e-31,4.371642091438235e-31,1.0244076359029163e-30,,,,3.3951644600528697e-32,3.9901351329136675e-47,2.0228660957542758e-48,5.562040799763823e-46,,,,1.5643268059001113e-47,928,480,1760
74,-6.359201716214106e-31,4.80875532138627e-31,1.1258617125462141e-30,,,,3.7371686991309933e-32,3.260683081181943e-47,-4.302903282795895e-49,4.4833832447714455e-46,,,,1.2677960490398852e-47,928,480,1760
75,-6.672134098112214e-31,5.046155010196698e-31,1.1803858153007586e-30,,,,3.9244085146294843e-32,2.197216544074658e-47,-3.3329125410474444e-48,2.9308118218180862e-46,,,,8.388967965530476e-48,928,480,1760
76,-6.651133853601343e-31,5.031141385309425e-31,1.1756708090912907e-30,,,,3.9158517433094535e-32,7.979546334850981e-48,-6.600385172562367e-48,9.043824745956993e-47,,,,2.7736391972648286e-48,928,480,1760
77,-6.232796451984883e-31,4.7157373152142615e-31,1.1005273458964804e-30,,,,3.6740999400945733e-32,-9.193732183526445e-48,-1.011013904033281e-47,-1.5678195049596765e-46,,,,-4.092766066032222e-48,928,480,1760
78,-5.364936794683091e-31,4.060439385553176e-31,9.45764254681394e-31,,,,3.168303146772132e-32,-2.9147985577898344e-47,-1.3701550979445983e-47,-4.425913897857101e-46,,,,-1.204644418777373e-47,928,480,1760
79,-4.011846820401044e-31,3.038194110234698e-31,7.051188301847236e-31,,,,2.3772517304069888e-32,-5.124171918031186e-47,-1.7178074356374919e-47,-7.575610985280191e-46,,,,-2.082759183836697e-47,928,480,1760
80,-2.1595966708145946e-31,1.638407754119425e-31,3.76194061095547e-31,,,,1.2924967546829214e-32,-7.458274663439294e-47,-2.0311906131957594e-47,-1.088712540171852e-45,,,,-3.0077183135945065e-47,928,480,1760
81,1.7892560040022852e-32,-1.2924082071997372e-32,-3.865127589484914e-32,,,,-7.868009506114895e-34,-9.80324119804228e-47,-2.2851405569296464e-47,-1.4195978525267577e-45,,,,-3.9338989754314997e-47,928,480,1760
82,2.9595843813056694e-31,-2.2314478659232186e-31,-5.315214108379071e-31,,,,-1.7106517653763914e-32,-1.2022520247976765e-46,-2.453135862216505e-47,-1.730600756413979e-45,,,,-4.806773954171408e-47,928,480,1760
